stroke_rate,drag_coefficient,turn_time_ms,pool_length_m,lap_time_seconds
64.1,0.0,651.7,39,50.28
47.1,0.0,654.2,27,32.24
36.0,0.0,625.7,50,44.87
67.3,0.1,659.4,35,44.98
48.0,0.1,878.7,35,37.05
68.8,0.1,575.7,47,57.32
72.9,0.1,516.2,25,30.2
46.1,0.1,607.4,43,40.2
77.1,0.0,809.0,49,62.6
68.7,0.1,701.8,40,49.74
30.4,0.0,602.3,29,31.1
58.0,0.0,797.2,36,49.94
45.8,0.0,588.9,42,44.19
67.9,0.1,741.9,34,42.1
69.0,0.0,719.6,44,56.46
62.4,0.0,808.5,46,56.39
77.5,0.0,504.3,50,58.7
68.2,0.1,426.1,49,50.04
73.8,0.0,831.4,46,65.64
31.3,0.0,527.7,43,37.64
30.8,0.1,669.5,47,37.69
45.2,0.0,411.0,43,44.39
66.2,0.1,428.3,28,35.28
57.5,0.0,751.6,47,53.81
33.3,0.0,747.9,28,34.38
